time,open,high,low,close,tick_volume,spread,real_volume
2025-04-24 08:00:00,1.3269199999999999,1.32736,1.32638,1.3267,2829,18,0
2025-04-24 09:00:00,1.3266499999999999,1.32799,1.32644,1.32735,4515,18,0
2025-04-24 10:00:00,1.32736,1.32955,1.32732,1.32934,4527,18,0
2025-04-24 11:00:00,1.32935,1.33087,1.3289900000000001,1.33005,4430,18,0
2025-04-24 12:00:00,1.33006,1.33159,1.32972,1.33025,3454,18,0
2025-04-24 13:00:00,1.33026,1.33198,1.3296700000000001,1.32992,3594,18,0
2025-04-24 14:00:00,1.32992,1.33198,1.32989,1.33075,3526,18,0
2025-04-24 15:00:00,1.33075,1.33106,1.3296700000000001,1.33005,4581,18,0
2025-04-24 16:00:00,1.33011,1.33149,1.3299400000000001,1.33125,4351,18,0
2025-04-24 17:00:00,1.33125,1.33315,1.33081,1.33134,5523,18,0
2025-04-24 18:00:00,1.33135,1.33196,1.32895,1.33041,4903,18,0
2025-04-24 19:00:00,1.33041,1.33283,1.33014,1.33276,3549,18,0
2025-04-24 20:00:00,1.33276,1.33332,1.33163,1.33202,2797,18,0
2025-04-24 21:00:00,1.33202,1.3326500000000001,1.3314300000000001,1.33254,2253,18,0
2025-04-24 22:00:00,1.33255,1.33436,1.33234,1.3336299999999999,2434,18,0
2025-04-24 23:00:00,1.33364,1.33483,1.33332,1.33371,1359,18,0
2025-04-25 00:00:00,1.33382,1.33392,1.33224,1.33301,513,45,0
2025-04-25 01:00:00,1.3329900000000001,1.33388,1.33291,1.33362,1377,18,0
2025-04-25 02:00:00,1.3336299999999999,1.3336999999999999,1.33233,1.33264,1725,18,0
2025-04-25 03:00:00,1.33264,1.33264,1.33052,1.3306200000000001,3030,18,0
2025-04-25 04:00:00,1.3306200000000001,1.33131,1.3296999999999999,1.32983,2970,18,0
2025-04-25 05:00:00,1.32984,1.33068,1.32983,1.33043,2217,18,0
2025-04-25 06:00:00,1.33044,1.33169,1.32852,1.32861,3291,18,0
2025-04-25 07:00:00,1.32861,1.32901,1.32786,1.32862,2600,18,0
2025-04-25 08:00:00,1.32862,1.32915,1.32733,1.32774,3030,18,0
2025-04-25 09:00:00,1.32773,1.33064,1.32734,1.33041,4712,18,0
2025-04-25 10:00:00,1.33042,1.3313,1.32947,1.32972,5200,18,0
2025-04-25 11:00:00,1.32972,1.33039,1.32892,1.33014,3550,18,0
2025-04-25 12:00:00,1.33014,1.33087,1.32947,1.32985,3382,18,0
2025-04-25 13:00:00,1.32985,1.33169,1.32864,1.33167,3186,18,0
2025-04-25 14:00:00,1.33167,1.33167,1.33046,1.33057,2471,18,0
2025-04-25 15:00:00,1.33059,1.33253,1.33059,1.33221,3635,18,0
2025-04-25 16:00:00,1.33222,1.33264,1.32972,1.33044,4776,18,0
2025-04-25 17:00:00,1.33056,1.3321100000000001,1.33048,1.33073,4978,18,0
2025-04-25 18:00:00,1.33075,1.33289,1.32982,1.3328,4047,18,0
2025-04-25 19:00:00,1.33281,1.33314,1.33183,1.33186,2824,18,0
2025-04-25 20:00:00,1.33185,1.33284,1.33152,1.33243,3530,18,0
2025-04-25 21:00:00,1.33242,1.33301,1.33171,1.33283,2435,18,0
2025-04-25 22:00:00,1.3328,1.33314,1.3317999999999999,1.33181,2405,18,0
