time,open,high,low,close,tick_volume,spread,real_volume
2025-06-06 14:00:00,1.35487,1.35498,1.35437,1.3544399999999999,650,18,0
2025-06-06 14:15:00,1.35443,1.35462,1.3541699999999999,1.35418,508,18,0
2025-06-06 14:30:00,1.35418,1.35542,1.3541699999999999,1.35516,622,18,0
2025-06-06 14:45:00,1.35516,1.35524,1.35477,1.355,759,18,0
2025-06-06 15:00:00,1.35501,1.3553,1.35374,1.35391,828,2,0
2025-06-06 15:15:00,1.3538999999999999,1.35476,1.35378,1.35378,1084,18,0
2025-06-06 15:30:00,1.35368,1.35628,1.35182,1.35296,2430,18,0
2025-06-06 15:45:00,1.35296,1.35397,1.3526799999999999,1.35354,1944,18,0
2025-06-06 16:00:00,1.35351,1.35433,1.3523800000000001,1.3531,1787,18,0
2025-06-06 16:15:00,1.3531,1.35348,1.35065,1.35093,1499,18,0
2025-06-06 16:30:00,1.35093,1.35281,1.35093,1.35223,1623,18,0
2025-06-06 16:45:00,1.35223,1.35331,1.35168,1.35203,1631,18,0
2025-06-06 17:00:00,1.3520699999999999,1.3536000000000001,1.35156,1.35334,1588,18,0
2025-06-06 17:15:00,1.35339,1.35468,1.35301,1.35457,1350,18,0
2025-06-06 17:30:00,1.35454,1.35472,1.35327,1.35338,1188,18,0
2025-06-06 17:45:00,1.35341,1.35341,1.3517000000000001,1.35251,1382,18,0
2025-06-06 18:00:00,1.35251,1.35293,1.35183,1.35225,1479,18,0
2025-06-06 18:15:00,1.35225,1.35257,1.3516,1.35247,1443,18,0
2025-06-06 18:30:00,1.35247,1.35338,1.35237,1.35335,1140,18,0
2025-06-06 18:45:00,1.35337,1.3534,1.35279,1.353,821,18,0
2025-06-06 19:00:00,1.353,1.35348,1.35275,1.35279,877,18,0
2025-06-06 19:15:00,1.35281,1.35337,1.35255,1.35255,920,18,0
2025-06-06 19:30:00,1.35257,1.3527,1.35186,1.35264,881,18,0
2025-06-06 19:45:00,1.3526500000000001,1.35274,1.3517000000000001,1.35182,856,18,0
2025-06-06 20:00:00,1.35183,1.35237,1.3515,1.35235,758,18,0
2025-06-06 20:15:00,1.35236,1.35276,1.35194,1.35217,717,18,0
2025-06-06 20:30:00,1.35224,1.35246,1.3517000000000001,1.35187,695,18,0
2025-06-06 20:45:00,1.35187,1.3526799999999999,1.35185,1.35254,730,18,0
2025-06-06 21:00:00,1.35254,1.35307,1.35251,1.35278,707,18,0
2025-06-06 21:15:00,1.35278,1.35309,1.3525800000000001,1.35287,698,18,0
2025-06-06 21:30:00,1.35287,1.35325,1.35249,1.35305,618,18,0
2025-06-06 21:45:00,1.35301,1.35301,1.35271,1.35289,604,18,0
2025-06-06 22:00:00,1.35288,1.35335,1.35288,1.35317,454,18,0
2025-06-06 22:15:00,1.35317,1.35321,1.35283,1.3529,488,18,0
2025-06-06 22:30:00,1.3529,1.3531,1.35281,1.35293,495,18,0
2025-06-06 22:45:00,1.35293,1.35334,1.35259,1.3532,531,0,0
2025-06-06 23:00:00,1.35312,1.35317,1.3528,1.35288,321,18,0
2025-06-06 23:15:00,1.3529,1.35298,1.35277,1.35277,237,18,0
2025-06-06 23:30:00,1.35277,1.35282,1.35236,1.3523800000000001,186,18,0
2025-06-06 23:45:00,1.35236,1.35275,1.35227,1.35242,219,18,0
2025-06-09 00:00:00,1.35237,1.35242,1.35162,1.35203,37,94,0
2025-06-09 00:15:00,1.35203,1.35205,1.35203,1.35203,18,126,0
2025-06-09 00:30:00,1.35203,1.35215,1.35202,1.35213,40,80,0
2025-06-09 00:45:00,1.35212,1.35273,1.35212,1.35272,64,54,0
2025-06-09 01:00:00,1.35254,1.35332,1.35252,1.35307,154,21,0
2025-06-09 01:15:00,1.35308,1.3532,1.35305,1.35316,283,18,0
2025-06-09 01:30:00,1.35317,1.35339,1.35316,1.35317,312,19,0
2025-06-09 01:45:00,1.35317,1.35351,1.35307,1.35346,435,19,0
2025-06-09 02:00:00,1.35347,1.35367,1.35338,1.3535599999999999,419,18,0
2025-06-09 02:15:00,1.3535599999999999,1.35382,1.35351,1.35373,357,18,0
2025-06-09 02:30:00,1.35374,1.3538700000000001,1.3532899999999999,1.35336,181,18,0
2025-06-09 02:45:00,1.35335,1.35378,1.35334,1.35361,266,18,0
2025-06-09 03:00:00,1.35361,1.35378,1.35317,1.35317,451,18,0
2025-06-09 03:15:00,1.35317,1.35317,1.35271,1.3529,386,18,0
2025-06-09 03:30:00,1.35291,1.35355,1.35291,1.35321,419,18,0
2025-06-09 03:45:00,1.35321,1.35355,1.35289,1.35301,509,18,0
2025-06-09 04:00:00,1.35309,1.35428,1.35309,1.35419,548,18,0
2025-06-09 04:15:00,1.35419,1.35476,1.35394,1.35445,589,18,0
2025-06-09 04:30:00,1.3544399999999999,1.35484,1.3541,1.35476,614,18,0
2025-06-09 04:45:00,1.3547500000000001,1.35537,1.3547500000000001,1.35522,714,18,0
2025-06-09 05:00:00,1.35523,1.35603,1.3550900000000001,1.35585,705,18,0
2025-06-09 05:15:00,1.35586,1.3561,1.35552,1.35606,524,18,0
2025-06-09 05:30:00,1.3560699999999999,1.35645,1.35582,1.35588,438,18,0
2025-06-09 05:45:00,1.35588,1.35605,1.35547,1.35555,456,18,0
2025-06-09 06:00:00,1.35554,1.35596,1.35547,1.35595,525,18,0
2025-06-09 06:15:00,1.35596,1.35602,1.35527,1.35532,426,18,0
2025-06-09 06:30:00,1.35532,1.3555,1.35517,1.35532,356,18,0
2025-06-09 06:45:00,1.35533,1.3553899999999999,1.35506,1.3550900000000001,302,18,0
2025-06-09 07:00:00,1.35508,1.35534,1.35486,1.35513,422,18,0
2025-06-09 07:15:00,1.35513,1.35542,1.35511,1.35514,334,18,0
2025-06-09 07:30:00,1.35514,1.35537,1.355,1.35513,368,18,0
2025-06-09 07:45:00,1.3551199999999999,1.3553899999999999,1.355,1.35532,318,18,0
2025-06-09 08:00:00,1.35532,1.35544,1.35524,1.35532,231,18,0
2025-06-09 08:15:00,1.35532,1.35538,1.35508,1.3553,334,18,0
2025-06-09 08:30:00,1.3553,1.35537,1.35479,1.35519,426,18,0
2025-06-09 08:45:00,1.35521,1.35581,1.3550900000000001,1.35564,523,18,0
2025-06-09 09:00:00,1.35569,1.3558,1.35529,1.3556,790,18,0
2025-06-09 09:15:00,1.35559,1.35621,1.35551,1.35589,701,18,0
2025-06-09 09:30:00,1.35589,1.35638,1.35569,1.35629,757,18,0
2025-06-09 09:45:00,1.35629,1.35711,1.35628,1.35674,793,18,0
2025-06-09 10:00:00,1.35674,1.35677,1.35596,1.3559999999999999,786,18,0
2025-06-09 10:15:00,1.3559999999999999,1.35681,1.35578,1.35657,830,18,0
2025-06-09 10:30:00,1.35657,1.35684,1.35625,1.35675,692,18,0
2025-06-09 10:45:00,1.35678,1.35684,1.35611,1.35637,653,18,0
2025-06-09 11:00:00,1.35641,1.3568799999999999,1.3562699999999999,1.35662,774,18,0
2025-06-09 11:15:00,1.35662,1.3571900000000001,1.35637,1.3571900000000001,845,18,0
2025-06-09 11:30:00,1.3572,1.35769,1.35703,1.35742,786,18,0
2025-06-09 11:45:00,1.35743,1.35759,1.35691,1.3572199999999999,725,18,0
2025-06-09 12:00:00,1.3572199999999999,1.35803,1.35721,1.35758,735,18,0
2025-06-09 12:15:00,1.35758,1.3577,1.35728,1.35739,711,18,0
2025-06-09 12:30:00,1.35739,1.35767,1.35721,1.35752,640,18,0
2025-06-09 12:45:00,1.35751,1.35769,1.35701,1.35706,624,18,0
2025-06-09 13:00:00,1.35706,1.35748,1.35687,1.35737,602,18,0
2025-06-09 13:15:00,1.35737,1.35739,1.3566799999999999,1.35697,551,18,0
2025-06-09 13:30:00,1.35698,1.35711,1.35623,1.3563,588,18,0
2025-06-09 13:45:00,1.3563,1.3563100000000001,1.35571,1.35579,470,18,0
2025-06-09 14:00:00,1.35579,1.35619,1.35554,1.3559700000000001,712,18,0
2025-06-09 14:15:00,1.3559700000000001,1.35598,1.35545,1.3558,672,18,0
2025-06-09 14:30:00,1.35579,1.35608,1.35542,1.35584,856,18,0
2025-06-09 14:45:00,1.35584,1.35629,1.35568,1.35608,726,18,0
2025-06-09 15:00:00,1.35608,1.35611,1.35399,1.35434,911,18,0
2025-06-09 15:15:00,1.35435,1.35459,1.35367,1.35411,845,18,0
2025-06-09 15:30:00,1.35407,1.35465,1.35395,1.354,914,18,0
2025-06-09 15:45:00,1.35401,1.35401,1.3532899999999999,1.3535300000000001,959,18,0
2025-06-09 16:00:00,1.35349,1.35399,1.35314,1.35335,1119,18,0
2025-06-09 16:15:00,1.3532899999999999,1.3532899999999999,1.35235,1.35274,975,18,0
2025-06-09 16:30:00,1.35272,1.35355,1.3527,1.3532,1057,18,0
2025-06-09 16:45:00,1.3531900000000001,1.35369,1.35306,1.35348,1145,18,0
2025-06-09 17:00:00,1.35347,1.3543,1.3534,1.35423,935,18,0
2025-06-09 17:15:00,1.35422,1.35437,1.35354,1.35369,872,18,0
2025-06-09 17:30:00,1.35369,1.35372,1.35272,1.35332,1184,18,0
2025-06-09 17:45:00,1.35332,1.35481,1.3532600000000001,1.3544100000000001,957,18,0
2025-06-09 18:00:00,1.3544100000000001,1.3551199999999999,1.35432,1.35497,997,18,0
2025-06-09 18:15:00,1.35499,1.3556300000000001,1.35499,1.35559,860,18,0
2025-06-09 18:30:00,1.35561,1.35601,1.35538,1.3557000000000001,673,18,0
2025-06-09 18:45:00,1.3557000000000001,1.35632,1.35565,1.35612,721,18,0
2025-06-09 19:00:00,1.35612,1.3562,1.35529,1.35529,717,18,0
2025-06-09 19:15:00,1.35532,1.35598,1.35529,1.35595,557,18,0
2025-06-09 19:30:00,1.35596,1.35601,1.35538,1.3554599999999999,585,18,0
2025-06-09 19:45:00,1.35547,1.35602,1.35545,1.35575,593,18,0
2025-06-09 20:00:00,1.35578,1.35579,1.35507,1.35537,572,18,0
2025-06-09 20:15:00,1.3553600000000001,1.35585,1.35528,1.3556599999999999,457,18,0
2025-06-09 20:30:00,1.35564,1.35577,1.35514,1.3557000000000001,566,18,0
2025-06-09 20:45:00,1.35569,1.35611,1.35567,1.35569,449,18,0
2025-06-09 21:00:00,1.35568,1.35602,1.35551,1.3559,475,18,0
2025-06-09 21:15:00,1.3559,1.3563100000000001,1.35582,1.35629,489,18,0
2025-06-09 21:30:00,1.3563,1.35647,1.35588,1.3559999999999999,466,18,0
2025-06-09 21:45:00,1.3559999999999999,1.35638,1.35594,1.35619,427,18,0
2025-06-09 22:00:00,1.35619,1.35649,1.35605,1.35629,382,18,0
2025-06-09 22:15:00,1.35629,1.35646,1.35598,1.35609,377,18,0
2025-06-09 22:30:00,1.35608,1.3561,1.3556300000000001,1.35569,429,18,0
2025-06-09 22:45:00,1.35568,1.35592,1.35568,1.35569,490,18,0
2025-06-09 23:00:00,1.3557000000000001,1.3557000000000001,1.3554,1.35544,307,18,0
2025-06-09 23:15:00,1.35544,1.35544,1.35492,1.35508,157,1,0
2025-06-09 23:30:00,1.35508,1.3550900000000001,1.3547799999999999,1.35504,194,18,0
2025-06-09 23:45:00,1.3550499999999999,1.3550499999999999,1.35406,1.35422,213,18,0
2025-06-10 00:00:00,1.3542,1.3550200000000001,1.35372,1.35413,164,55,0
2025-06-10 00:15:00,1.35413,1.35515,1.35397,1.355,226,65,0
2025-06-10 00:30:00,1.355,1.35514,1.35431,1.3547500000000001,237,31,0
2025-06-10 00:45:00,1.3547500000000001,1.3549,1.35429,1.35463,683,41,0
2025-06-10 01:00:00,1.35463,1.35529,1.35463,1.35519,190,18,0
2025-06-10 01:15:00,1.35519,1.35523,1.3550900000000001,1.3550900000000001,442,19,0
2025-06-10 01:30:00,1.35506,1.35511,1.35497,1.35497,132,18,0
2025-06-10 01:45:00,1.35497,1.35518,1.35493,1.35518,195,19,0
2025-06-10 02:00:00,1.35519,1.35519,1.3549,1.35501,178,19,0
2025-06-10 02:15:00,1.3550200000000001,1.35541,1.35499,1.3554,227,19,0
2025-06-10 02:30:00,1.3554,1.35551,1.35528,1.35529,132,19,0
2025-06-10 02:45:00,1.35529,1.3556300000000001,1.35521,1.35535,253,19,0
2025-06-10 03:00:00,1.35535,1.35589,1.3550900000000001,1.35581,478,18,0
2025-06-10 03:15:00,1.35581,1.35632,1.35575,1.35611,428,18,0
2025-06-10 03:30:00,1.35611,1.35612,1.35524,1.35531,500,18,0
2025-06-10 03:45:00,1.35531,1.35553,1.35514,1.3553600000000001,637,18,0
2025-06-10 04:00:00,1.35538,1.35596,1.35501,1.35513,699,18,0
2025-06-10 04:15:00,1.35513,1.35533,1.3542100000000001,1.3545099999999999,702,18,0
2025-06-10 04:30:00,1.35455,1.3547500000000001,1.35359,1.35403,854,18,0
2025-06-10 04:45:00,1.35403,1.35413,1.3526500000000001,1.35294,934,18,0
2025-06-10 05:00:00,1.35294,1.35294,1.35185,1.35282,1105,18,0
2025-06-10 05:15:00,1.35282,1.35315,1.35255,1.35287,734,18,0
2025-06-10 05:30:00,1.35286,1.35361,1.35269,1.35317,624,18,0
2025-06-10 05:45:00,1.35318,1.35394,1.35311,1.35371,524,18,0
2025-06-10 06:00:00,1.35371,1.3538700000000001,1.3531,1.35381,577,18,0
2025-06-10 06:15:00,1.3538000000000001,1.3542399999999999,1.35357,1.35407,508,18,0
2025-06-10 06:30:00,1.35406,1.3543,1.35373,1.35408,625,18,0
2025-06-10 06:45:00,1.35407,1.3543,1.35374,1.35425,393,18,0
2025-06-10 07:00:00,1.35425,1.35434,1.3538000000000001,1.35401,426,18,0
2025-06-10 07:15:00,1.354,1.35409,1.3532199999999999,1.3533,369,18,0
2025-06-10 07:30:00,1.3533,1.35359,1.35311,1.35331,428,18,0
2025-06-10 07:45:00,1.35331,1.35377,1.35325,1.3537,321,18,0
2025-06-10 08:00:00,1.35371,1.35393,1.35352,1.3538000000000001,507,18,0
2025-06-10 08:15:00,1.3538000000000001,1.35439,1.35343,1.35352,932,18,0
2025-06-10 08:30:00,1.35352,1.3545099999999999,1.35347,1.35385,1133,18,0
2025-06-10 08:45:00,1.35389,1.3542,1.35344,1.35389,1047,18,0
2025-06-10 09:00:00,1.35392,1.35394,1.35229,1.35289,1229,18,0
2025-06-10 09:15:00,1.35291,1.353,1.35188,1.35218,1248,18,0
2025-06-10 09:30:00,1.35217,1.3522,1.35057,1.3509,1133,18,0
2025-06-10 09:45:00,1.35089,1.35092,1.34815,1.34817,1080,18,0
2025-06-10 10:00:00,1.3481,1.34845,1.34552,1.34623,1512,18,0
2025-06-10 10:15:00,1.3462399999999999,1.34702,1.34581,1.34652,1081,18,0
2025-06-10 10:30:00,1.34652,1.34724,1.3462399999999999,1.3471,967,18,0
2025-06-10 10:45:00,1.3471,1.34714,1.34628,1.34714,1022,18,0
2025-06-10 11:00:00,1.34714,1.34805,1.34713,1.34774,946,18,0
2025-06-10 11:15:00,1.34774,1.34843,1.34752,1.34827,845,18,0
2025-06-10 11:30:00,1.34827,1.3496000000000001,1.34822,1.34897,846,18,0
2025-06-10 11:45:00,1.34897,1.3489900000000001,1.34821,1.3486799999999999,939,18,0
2025-06-10 12:00:00,1.3486799999999999,1.34943,1.34823,1.34909,891,18,0
2025-06-10 12:15:00,1.34916,1.34923,1.3479,1.3481,723,18,0
2025-06-10 12:30:00,1.3481,1.34898,1.34803,1.3486,649,18,0
2025-06-10 12:45:00,1.3486099999999999,1.34923,1.3486099999999999,1.34909,778,18,0
2025-06-10 13:00:00,1.34914,1.34938,1.34881,1.3490199999999999,806,18,0
2025-06-10 13:15:00,1.3490199999999999,1.3503,1.34894,1.34993,764,18,0
2025-06-10 13:30:00,1.34993,1.34999,1.34914,1.3498,662,18,0
2025-06-10 13:45:00,1.34982,1.35064,1.3496299999999999,1.35053,761,18,0
2025-06-10 14:00:00,1.35053,1.35068,1.34948,1.34968,758,18,0
2025-06-10 14:15:00,1.34968,1.3505099999999999,1.34967,1.35012,675,18,0
2025-06-10 14:30:00,1.35013,1.35019,1.3493,1.34931,736,18,0
2025-06-10 14:45:00,1.34931,1.35076,1.3493,1.35045,918,18,0
2025-06-10 15:00:00,1.35046,1.35117,1.34972,1.35,1020,18,0
2025-06-10 15:15:00,1.35,1.3505099999999999,1.34999,1.35037,629,18,0
2025-06-10 15:30:00,1.35039,1.35083,1.34993,1.35052,938,18,0
2025-06-10 15:45:00,1.3505099999999999,1.35113,1.35041,1.35063,943,18,0
2025-06-10 16:00:00,1.3506,1.35233,1.35043,1.35165,1216,18,0
2025-06-10 16:15:00,1.3516599999999999,1.3531900000000001,1.35154,1.35318,959,18,0
2025-06-10 16:30:00,1.35312,1.35312,1.3521,1.35255,1097,18,0
2025-06-10 16:45:00,1.35255,1.35332,1.35251,1.35321,1100,18,0
2025-06-10 17:00:00,1.3532,1.35358,1.35201,1.3522,900,2,0
2025-06-10 17:15:00,1.3522,1.35304,1.35182,1.35303,844,18,0
2025-06-10 17:30:00,1.35304,1.35314,1.35227,1.35252,696,18,0
2025-06-10 17:45:00,1.35252,1.35252,1.35128,1.35132,1043,18,0
2025-06-10 18:00:00,1.35133,1.35155,1.3509,1.35133,971,18,0
2025-06-10 18:15:00,1.35137,1.35153,1.35072,1.3507500000000001,759,18,0
2025-06-10 18:30:00,1.3507500000000001,1.35128,1.35042,1.35083,1094,18,0
