time,open,high,low,close,tick_volume,spread,real_volume
2025-04-24 08:00:00,142.745,142.951,142.723,142.775,3824,13,0
2025-04-24 09:00:00,142.775,142.877,142.655,142.68,4885,13,0
2025-04-24 10:00:00,142.684,142.736,142.544,142.573,5498,13,0
2025-04-24 11:00:00,142.573,142.729,142.491,142.636,5548,13,0
2025-04-24 12:00:00,142.628,142.69,142.416,142.443,3937,13,0
2025-04-24 13:00:00,142.442,142.505,142.301,142.481,4395,13,0
2025-04-24 14:00:00,142.482,142.626,142.341,142.587,4821,13,0
2025-04-24 15:00:00,142.587,142.622,142.283,142.395,5542,13,0
2025-04-24 16:00:00,142.393,142.578,142.312,142.491,6279,13,0
2025-04-24 17:00:00,142.49,142.595,142.271,142.466,6772,13,0
2025-04-24 18:00:00,142.466,142.765,142.44,142.647,6113,13,0
2025-04-24 19:00:00,142.647,142.783,142.562,142.638,4950,13,0
2025-04-24 20:00:00,142.638,142.821,142.613,142.78,4137,13,0
2025-04-24 21:00:00,142.78,142.826,142.711,142.722,3471,13,0
2025-04-24 22:00:00,142.722,142.726,142.48,142.685,3473,13,0
2025-04-24 23:00:00,142.685,142.732,142.519,142.574,1724,13,0
2025-04-25 00:00:00,142.569,142.73,142.5,142.642,302,21,0
2025-04-25 01:00:00,142.657,142.784,142.637,142.713,2083,13,0
2025-04-25 02:00:00,142.711,142.922,142.691,142.844,3039,13,0
2025-04-25 03:00:00,142.846,143.106,142.813,143.056,5249,13,0
2025-04-25 04:00:00,143.055,143.098,142.903,142.955,4694,13,0
2025-04-25 05:00:00,142.955,142.976,142.821,142.961,3619,13,0
2025-04-25 06:00:00,142.961,143.659,142.886,143.636,4963,13,0
2025-04-25 07:00:00,143.636,143.789,143.563,143.607,4793,13,0
2025-04-25 08:00:00,143.607,143.789,143.503,143.614,4518,13,0
2025-04-25 09:00:00,143.617,143.842,143.435,143.543,5184,13,0
2025-04-25 10:00:00,143.535,143.677,143.216,143.388,6219,13,0
2025-04-25 11:00:00,143.389,143.512,143.242,143.408,4828,13,0
2025-04-25 12:00:00,143.408,143.627,143.228,143.607,4531,13,0
2025-04-25 13:00:00,143.607,143.725,143.246,143.294,5657,13,0
2025-04-25 14:00:00,143.297,143.381,143.218,143.366,4221,13,0
2025-04-25 15:00:00,143.363,143.417,143.294,143.407,4622,13,0
2025-04-25 16:00:00,143.407,143.862,143.4,143.738,6424,13,0
2025-04-25 17:00:00,143.75,143.98,143.612,143.976,7272,13,0
2025-04-25 18:00:00,143.976,144.022,143.724,143.743,5180,13,0
2025-04-25 19:00:00,143.743,143.809,143.676,143.804,3704,13,0
2025-04-25 20:00:00,143.805,143.839,143.435,143.515,4601,13,0
2025-04-25 21:00:00,143.515,143.624,143.452,143.549,4187,13,0
2025-04-25 22:00:00,143.552,143.643,143.482,143.638,3530,13,0
2025-04-25 23:00:00,143.638,143.841,143.621,143.621,1516,13,0
2025-04-28 00:00:00,143.61,143.769,143.434,143.586,361,4,0
2025-04-28 01:00:00,143.62,143.869,143.587,143.766,2330,13,0
