signal,price,lot,pnl,balance,symbol
sell,1.27294,0.07,0.0,10000.0,GBPUSD
sell,143.32,0.01,0.0,10000.0,USDJPY
sell,1.28069,0.07,0.0,10000.0,GBPUSD
sell,143.321,0.01,0.0,10000.0,USDJPY
sell,1.09473,0.09,0.0,10000.0,EURUSD
buy,1.07881,0.09,0.0,10000.0,EURUSD
buy,147.231,0.01,0.0,10000.0,USDJPY
sell,1.28562,0.07,0.0,10000.0,GBPUSD
sell,145.274,0.01,0.0,10000.0,USDJPY
sell,1.28123,0.07,0.0,10000.0,GBPUSD
buy,1.07422,0.1,0.0,10000.0,EURUSD
buy,1.07687,0.09,0.0,10000.0,EURUSD
buy,1.26191,0.07,0.0,10000.0,GBPUSD
sell,147.182,0.01,0.0,10000.0,USDJPY
buy,1.26167,0.07,0.0,10000.0,GBPUSD
sell,148.154,0.01,0.0,10000.0,USDJPY
sell,1.08663,0.09,0.0,10000.0,EURUSD
sell,1.08685,0.09,0.0,10000.0,EURUSD
sell,148.154,0.01,0.0,10000.0,USDJPY
buy,1.25506,0.07,0.0,10000.0,GBPUSD
buy,1.25768,0.07,0.0,10000.0,GBPUSD
sell,148.112,0.01,0.0,10000.0,USDJPY
sell,1.08561,0.1,0.0,10000.0,EURUSD
sell,1.08532,0.1,0.0,10000.0,EURUSD
sell,1.27055,0.07,0.0,10000.0,GBPUSD
sell,148.092,0.01,0.0,10000.0,USDJPY
sell,148.321,0.01,0.0,10000.0,USDJPY
buy,1.06915,0.09,0.0,10000.0,EURUSD
sell,1.27082,0.07,0.0,10000.0,GBPUSD
sell,1.2716,0.07,0.0,10000.0,GBPUSD
buy,1.06797,0.09,0.0,10000.0,EURUSD
sell,147.497,0.01,0.0,10000.0,USDJPY
buy,1.26324,0.08,0.0,10000.0,GBPUSD
sell,1.08677,0.1,0.0,10000.0,EURUSD
sell,147.652,0.01,0.0,10000.0,USDJPY
buy,148.022,0.01,0.0,10000.0,USDJPY
sell,1.09055,0.1,0.0,10000.0,EURUSD
buy,1.27366,0.08,0.0,10000.0,GBPUSD
buy,147.05,0.01,0.0,10000.0,USDJPY
sell,1.08937,0.1,0.0,10000.0,EURUSD
buy,1.26906,0.07,0.0,10000.0,GBPUSD
buy,1.26897,0.07,0.0,10000.0,GBPUSD
sell,1.08987,0.1,0.0,10000.0,EURUSD
buy,146.953,0.01,0.0,10000.0,USDJPY
buy,147.607,0.01,0.0,10000.0,USDJPY
sell,1.09388,0.1,0.0,10000.0,EURUSD
buy,1.3062,0.06,0.0,10000.0,GBPUSD
buy,147.623,0.01,0.0,10000.0,USDJPY
sell,1.08959,0.1,0.0,10000.0,EURUSD
buy,1.30575,0.06,0.0,10000.0,GBPUSD
buy,156.203,0.01,0.0,10000.0,USDJPY
buy,1.07909,0.11,0.0,10000.0,EURUSD
buy,1.30722,0.06,0.0,10000.0,GBPUSD
buy,1.29889,0.06,0.0,10000.0,GBPUSD
buy,1.09372,0.08,0.0,10000.0,EURUSD
buy,157.445,0.01,0.0,10000.0,USDJPY
buy,1.30087,0.06,0.0,10000.0,GBPUSD
buy,1.09346,0.08,0.0,10000.0,EURUSD
buy,157.0,0.01,0.0,10000.0,USDJPY
buy,155.565,0.01,0.0,10000.0,USDJPY
buy,1.09362,0.08,0.0,10000.0,EURUSD
buy,1.30471,0.06,0.0,10000.0,GBPUSD
buy,153.85,0.01,0.0,10000.0,USDJPY
buy,1.09081,0.08,0.0,10000.0,EURUSD
buy,1.29829,0.06,0.0,10000.0,GBPUSD
buy,1.29826,0.06,0.0,10000.0,GBPUSD
buy,1.1083,0.04,0.0,10000.0,EURUSD
buy,153.937,0.01,0.0,10000.0,USDJPY
buy,153.723,0.01,0.0,10000.0,USDJPY
buy,154.0,0.01,0.0,10000.0,USDJPY
sell,146.897,0.01,0.0,10000.0,USDJPY
sell,148.661,0.01,0.0,10000.0,USDJPY
sell,148.172,0.01,0.0,10000.0,USDJPY
sell,148.171,0.01,0.0,10000.0,USDJPY
sell,149.286,0.01,0.0,10000.0,USDJPY
buy,149.564,0.01,0.0,10000.0,USDJPY
buy,149.53,0.01,0.0,10000.0,USDJPY
buy,150.518,0.01,0.0,10000.0,USDJPY
buy,150.039,0.01,0.0,10000.0,USDJPY
buy,150.025,0.01,0.0,10000.0,USDJPY
sell,157.349,0.01,0.0,10000.0,USDJPY
sell,156.423,0.01,0.0,10000.0,USDJPY
sell,157.07,0.01,0.0,10000.0,USDJPY
sell,157.074,0.01,0.0,10000.0,USDJPY
sell,157.069,0.01,0.0,10000.0,USDJPY
buy,151.383,0.01,0.0,10000.0,USDJPY
buy,151.389,0.01,0.0,10000.0,USDJPY
